iter	Logloss
0	0.6866614721
1	0.681255567
2	0.6742149558
3	0.6683408296
4	0.6630505134
5	0.6574863392
6	0.6522489272
7	0.6484575924
8	0.6441928628
9	0.640206142
10	0.6359386007
11	0.632331053
12	0.6274999618
13	0.6236126637
14	0.6208344114
15	0.6183474453
16	0.6155491889
17	0.6124588357
18	0.6098512873
19	0.6076935059
20	0.6052265003
21	0.6027421917
22	0.6009161765
23	0.5991884989
24	0.5968581494
25	0.5946033129
26	0.5927669653
27	0.5917730625
28	0.589979776
29	0.5879042043
30	0.5863728122
31	0.5849134617
32	0.5821956158
33	0.5805332593
34	0.5790832017
35	0.5775499079
36	0.5762862515
37	0.5748071919
38	0.5728441996
39	0.570680866
40	0.5687603953
41	0.5679428251
42	0.5662726518
43	0.5649319745
44	0.5638707656
45	0.5620653116
46	0.5610920373
47	0.559661399
48	0.5586624187
49	0.5578323865
50	0.5562220244
51	0.5549578814
52	0.5535569452
53	0.5527924276
54	0.5520193113
55	0.5507279801
56	0.5498108986
57	0.5491518418
58	0.5486594047
59	0.5474369005
60	0.5468677122
61	0.5457272617
62	0.545046265
63	0.5442525285
64	0.5430725999
65	0.5413285271
66	0.5404346054
67	0.5399528018
68	0.5387777024
69	0.5381835433
70	0.5365669996
71	0.5354393511
72	0.5346600717
73	0.5332654917
74	0.5325971641
75	0.5319797967
76	0.5308034119
77	0.5304396623
78	0.5294280632
79	0.5288803437
80	0.5278347848
81	0.5267431805
82	0.5261021965
83	0.5250798234
84	0.5242583632
85	0.5235012443
86	0.523010814
87	0.5226446941
88	0.5218539505
89	0.5207749566
90	0.520189957
91	0.5191287483
92	0.5189189703
93	0.5181775032
94	0.5174735463
95	0.5171776039
96	0.5166735395
97	0.5158442343
98	0.5148348254
99	0.5136981023
100	0.5131506448
101	0.5129379002
102	0.5124824329
103	0.512275365
