iter	Passed	Remaining
0	2	21039
1	5	21115
2	7	20619
3	10	20484
4	12	20467
5	14	20314
6	17	20234
7	19	19938
8	22	20165
9	24	20394
10	27	20219
11	29	20315
12	31	20069
13	33	19801
14	35	19560
15	38	19722
16	40	19633
17	42	19472
18	45	19608
19	48	19648
20	50	19557
21	53	19715
22	55	19835
23	58	19793
24	61	20006
25	63	19977
26	65	19871
27	67	19808
28	70	19834
29	72	19788
30	74	19708
31	77	19741
32	79	19751
33	81	19647
34	84	19733
35	86	19705
36	89	19650
37	91	19601
38	93	19600
39	96	19705
40	99	19703
41	101	19777
42	104	19731
43	106	19679
44	108	19686
45	112	19989
46	115	20071
47	119	20334
48	122	20290
49	125	20453
50	128	20553
51	131	20512
52	133	20554
53	136	20616
54	139	20669
55	142	20690
56	145	20709
57	147	20723
58	150	20808
59	153	20830
60	156	20841
61	158	20831
62	161	20781
63	163	20725
64	165	20721
65	167	20671
66	169	20609
67	172	20614
68	175	20612
69	177	20603
70	179	20571
71	182	20544
72	184	20502
73	186	20478
74	189	20483
75	191	20466
76	194	20447
77	196	20415
78	198	20385
79	200	20325
80	202	20295
81	205	20296
82	207	20274
83	209	20265
84	212	20246
85	214	20233
86	216	20194
87	218	20167
88	221	20173
89	224	20190
90	227	20238
91	229	20215
92	230	20107
93	233	20102
94	236	20167
95	240	20323
96	244	20381
97	247	20413
98	250	20454
99	253	20515
100	259	20802
101	263	20902
102	267	20969
103	270	21030
